1986,1987,2012,1984,1981,1992,1982,1985,2008,1983,1991,1990,1993,2009,1995,1994,1997,1996,1999,1998,1978,1988,1989,2002,2003,2000,2001,2006,2007,2004,2005,2015,2014,2017,2016,2011,2010,2013,2018
2,2,14,3,2,6,4,4,8,2,4,4,8,19,10,10,3,6,3,2,3,6,5,12,11,20,8,16,9,11,11,44,25,59,44,12,10,11,14
