1986,1990,1992,2007,2017,1991,1987,1993,2009,1995,1983,1981,1999,1996,1988,1989,2002,2000,2001,2006,2018,2004,2005,2015,2014,2008,2016,2011,2010,2013,2012
2,2,3,13,71,3,3,2,19,3,2,3,2,2,2,2,7,4,8,21,16,9,16,35,18,12,40,9,13,10,11
