1986,2008,1980,1982,1989,2007,1991,1993,1992,1995,1994,1997,1996,1999,1998,1988,2009,2002,2003,2000,2001,2006,2018,2004,2005,2015,2014,2017,2016,2011,2010,2013,2012
2,2,3,2,3,4,5,2,5,5,4,4,2,4,4,3,12,7,3,19,11,5,9,3,8,24,15,57,49,12,17,11,15
