1986,1987,2012,1984,1982,1989,2017,1983,1991,1990,1993,1992,1995,1994,1997,1996,1999,1998,1988,2009,2002,2003,2000,2001,2006,2018,2004,2005,2015,2014,2008,2016,2011,2010,2013,2007
3,2,38,2,2,3,81,2,4,3,5,5,9,3,9,9,3,2,4,16,7,9,5,6,10,9,3,4,43,39,16,60,15,25,33,9
